------ Execution Data ------ 

Tamanho do Cubo: 25x25x25
N° de Células: 15625
Células Bloqueadas: 4687 (30%)
Número de Rotas (Start- Goal): 6000

 Block   ;G(n) ;Tempo (ms) 
[12,10,20]  ;  0  ;  0
[11,0,17]  ;  0  ;  0
[15,13,5]  ;  23  ;  12
[12,5,2]  ;  0  ;  0
[24,6,7]  ;  22  ;  8
[14,8,14]  ;  16  ;  2
[5,1,0]  ;  0  ;  0
[6,8,2]  ;  14  ;  2
[4,10,4]  ;  24  ;  16
[7,11,12]  ;  9  ;  2
[21,12,12]  ;  30  ;  34
[17,1,22]  ;  0  ;  0
[4,7,15]  ;  0  ;  0
[24,12,17]  ;  0  ;  0
[13,13,15]  ;  0  ;  0
[5,22,12]  ;  39  ;  86
[20,2,10]  ;  0  ;  0
[4,20,14]  ;  0  ;  0
[15,9,13]  ;  0  ;  0
[5,5,16]  ;  16  ;  3
[16,17,7]  ;  33  ;  55
[15,5,15]  ;  0  ;  0
[17,8,4]  ;  26  ;  14
[20,10,23]  ;  28  ;  32
[19,15,21]  ;  0  ;  0
[24,22,2]  ;  0  ;  0
[6,9,4]  ;  0  ;  0
[11,17,2]  ;  0  ;  0
[16,7,3]  ;  18  ;  7
[7,10,8]  ;  27  ;  15
[14,4,0]  ;  0  ;  0
[18,15,17]  ;  0  ;  0
[24,15,9]  ;  15  ;  3
[11,11,16]  ;  10  ;  1
[9,8,8]  ;  23  ;  16
[23,21,19]  ;  0  ;  0
[17,20,20]  ;  21  ;  11
[12,10,22]  ;  0  ;  0
[22,6,6]  ;  0  ;  0
[1,5,0]  ;  37  ;  94
[15,22,8]  ;  0  ;  0
[10,3,1]  ;  0  ;  0
[18,1,24]  ;  0  ;  0
[3,16,2]  ;  0  ;  0
[9,13,7]  ;  21  ;  11
[3,19,22]  ;  32  ;  26
[1,6,15]  ;  36  ;  55
[20,10,7]  ;  20  ;  6
[5,9,19]  ;  0  ;  0
[3,1,18]  ;  16  ;  2
[20,13,0]  ;  18  ;  4
[8,13,19]  ;  30  ;  92
[6,7,4]  ;  0  ;  0
[2,11,6]  ;  0  ;  0
[1,17,5]  ;  33  ;  59
[4,14,2]  ;  25  ;  13
[16,4,21]  ;  0  ;  0
[19,11,15]  ;  29  ;  23
[8,11,24]  ;  0  ;  0
[12,24,23]  ;  0  ;  0
[7,19,19]  ;  0  ;  0
[1,17,7]  ;  0  ;  0
[12,9,23]  ;  0  ;  0
[10,20,0]  ;  22  ;  6
[3,6,24]  ;  0  ;  0
[12,17,18]  ;  0  ;  0
[0,15,3]  ;  0  ;  0
[20,14,4]  ;  0  ;  0
[24,19,14]  ;  27  ;  17
[23,5,6]  ;  0  ;  0
[4,20,12]  ;  8  ;  1
[10,20,4]  ;  0  ;  0
[16,19,21]  ;  14  ;  2
[15,17,3]  ;  0  ;  0
[15,18,11]  ;  0  ;  0
[12,2,24]  ;  21  ;  6
[22,8,24]  ;  43  ;  106
[2,3,16]  ;  0  ;  0
[24,10,18]  ;  15  ;  2
[23,20,11]  ;  0  ;  0
[17,17,0]  ;  41  ;  101
[14,21,22]  ;  0  ;  0
[9,21,8]  ;  0  ;  0
[23,17,18]  ;  23  ;  6
[10,9,24]  ;  0  ;  0
[12,15,22]  ;  0  ;  0
[19,18,6]  ;  0  ;  0
[22,9,19]  ;  28  ;  11
[18,20,0]  ;  0  ;  0
[7,7,23]  ;  37  ;  45
[8,8,12]  ;  20  ;  4
[17,5,20]  ;  15  ;  2
[21,11,22]  ;  21  ;  8
[21,16,6]  ;  0  ;  0
[13,1,4]  ;  17  ;  2
[6,16,17]  ;  0  ;  0
[10,0,21]  ;  30  ;  63
[18,18,21]  ;  0  ;  0
[20,14,19]  ;  10  ;  0
[23,5,8]  ;  0  ;  0
[6,18,5]  ;  0  ;  0
[23,1,24]  ;  25  ;  10
[3,0,7]  ;  8  ;  1
[11,10,15]  ;  0  ;  0
[9,13,5]  ;  0  ;  0
[16,2,0]  ;  53  ;  233
[15,4,10]  ;  21  ;  9
[21,10,5]  ;  33  ;  40
